Internal ID,Name,Code,Value,Product Group,Conditions,Shorten Ebay Title
1,Accessories,ACCESSORIE,Accessories,Accessory,"Above Average 9.0,Average 8.0,Below Average 7.0,Brand New 10.0,Mint 9.5,New,New W/ Logo,Open Box 9.9",No
32,Backpack,BACKPACK,Backpack,Accessory,"New,New W/ Logo",
2,Bag,BAG,Bag,Bag,"Above Average 9.0,Average 8.0,Brand New 10.0,Mint 9.5,New,New W/ Logo,Shop Worn",
80,Belts,BELTS,Belts,Accessory,"Brand New 10.0,New,New W/ Logo",
117,Book,BOOK,Book,Club,New,
65,Box Set,BOX SET,Box Set,Club,"Brand New 10.0,New",
29,Box Sets,BOX SETS,Box Sets,Club,"New,Open Box 9.9",
33,Carry Bag,CARRYBAG,Carry Bag,Bag,"Above Average 9.0,Average 8.0,Brand New 10.0,Mint 9.5,New,New W/ Logo,Shop Worn",
34,Cart Bag,CARTBAG,Cart Bag,Bag,"Above Average 9.0,Average 8.0,Brand New 10.0,Mint 9.5,New,New W/ Logo,Shop Worn",
30,Chipper,CHIPPER,Chipper,Club,"Above Average 9.0,Average,Average 8.0,Below Average,Below Average 7.0,Mint 9.5,New,Poor 6.0",
302,Clearance,CLEARANCE,Clearance,,,
35,Clip,CLIP,Clip,Accessory,"Brand New 10.0,New",
31,Complete Golf Club Set,COMPLETE,Complete Golf Club Set,Club,"Brand New 10.0,New,Open Box 9.9",
203,Den Caddy,DENCADDY,Den Caddy,Bag,"Brand New 10.0,New",
5,Driver,DRIVER,Driver,Club,"Above Average 9.0,Average,Average 8.0,Below Average,Below Average 7.0,Mint 9.5,New,Poor 6.0",
75,Driver Adapter,ADAPTER,Driver Adapter,Accessory,"Brand New 10.0,New,Shop Worn",
59,Driver Headcover,HCDRIVER,Driver Headcover,Headcover,"Above Average 9.0,Average 8.0,Brand New 10.0,Mint 9.5,New,Shop Worn",
69,Driver Shaft,DVRSHAFT,Driver Shaft,Shaft,"New Uncut,Pull,Used W/ Adapter",
55,Driving Iron,DRIVEIRON,Driving Iron,Club,"Above Average 9.0,Average 8.0,Below Average 7.0,Mint 9.5,Poor 6.0",
6,Fairway Wood,FAIRWAY,Fairway Wood,Club,"Above Average 9.0,Average,Average 8.0,Below Average,Below Average 7.0,Mint 9.5,New,Poor 6.0",
