Internal ID,Name,Script ID,Code,Value,Product Group,Conditions,Shorten Ebay Title
3,Golf Balls,VAL_272625_4537321_505,BALL,Golf Balls,Accessory,"Brand New 10.0,New,New W/ Logo",Yes
56,Junior Bottom,VAL_272678_4537321_827,JUNIORBOTT,Junior Bottom,Bottom,"Brand New 10.0,New,New W/ Logo",Yes
12,Junior Golf Shoe,VAL_272634_4537321_337,JUNIORSHOE,Junior Golf Shoe,Shoes,"Brand New 10.0,New,New W/O Box",Yes
57,Junior Top,VAL_272679_4537321_913,JUNIORTOP,Junior Top,Top,"Brand New 10.0,New,New W/ Logo",Yes
41,Mens Bottoms,VAL_272663_4537321_453,MENSBOTTOM,Mens Bottoms,Bottom,"Brand New 10.0,New,New W/ Logo",Yes
13,Mens Golf Outerwear,VAL_272635_4537321_202,MENS OUTER,Mens Golf Outerwear,Top,"Brand New 10.0,New,New W/ Logo",Yes
52,Mens Golf Pants,VAL_272674_4537321_322,MENS PANTS,Mens Golf Pants,Bottom,"Brand New 10.0,New,New W/ Logo",Yes
54,Mens Golf Sandal,VAL_272676_4537321_219,MENSSANDAL,Mens Golf Sandal,Shoes,"Brand New 10.0,New,New W/O Box",Yes
15,Mens Golf Shirts,VAL_272637_4537321_363,MENS TOPS,Mens Golf Shirts,Top,"Brand New 10.0,New,New W/ Logo",Yes
40,Mens Golf Shoe,VAL_272662_4537321_693,MENS SHOE,Mens Golf Shoe,Shoes,"Brand New 10.0,New,New W/O Box",Yes
16,Mens Golf Shorts,VAL_272638_4537321_381,MENSSHORTS,Mens Golf Shorts,Bottom,"Brand New 10.0,New,New W/ Logo",Yes
14,Mens Golf Sweater,VAL_272636_4537321_762,MENS SWEAT,Mens Golf Sweater,Top,"Brand New 10.0,New,New W/ Logo",Yes
82,Mens Long Sleeve Golf Shirts,VAL_272704_4537321_424,MENSLONG,Mens Long Sleeve Golf Shirts,Top,"Brand New 10.0,New,New W/ Logo",Yes
50,Womens Bottom,VAL_272672_4537321_102,WOMENSBOTT,Womens Bottom,Bottom,"Brand New 10.0,New,New W/ Logo",Yes
24,Womens Golf Outerwear,VAL_272646_4537321_400,WOMENOUTER,Womens Golf Outerwear,Top,"Brand New 10.0,New,New W/ Logo",Yes
25,Womens Golf Pants,VAL_272647_4537321_513,WOMENPANTS,Womens Golf Pants,Bottom,"Brand New 10.0,New,New W/ Logo",Yes
27,Womens Golf Shirts,VAL_272649_4537321_812,WOMENSTOPS,Womens Golf Shirts,Top,"Brand New 10.0,New,New W/ Logo",Yes
51,Womens Golf Shoe,VAL_272673_4537321_384,WOMENSSHOE,Womens Golf Shoe,Shoes,"Brand New 10.0,New,New W/O Box",Yes
26,Womens Golf Shorts,VAL_272648_4537321_272,WOMENSHORT,Womens Golf Shorts,Bottom,"Brand New 10.0,New,New W/ Logo",Yes
87,Womens Golf Skorts,VAL_272709_4537321_240,WOMENSKORT,Womens Golf Skorts,Bottom,"Brand New 10.0,New,New W/ Logo",Yes
28,Womens Golf Sweater,VAL_272650_4537321_632,WOMENSWEAT,Womens Golf Sweater,Top,"Brand New 10.0,New,New W/ Logo",Yes
84,Womens Long Sleeve Golf Shirts,VAL_272706_4537321_901,WOMENLONG,Womens Long Sleeve Golf Shirts,Top,"Brand New 10.0,New,New W/ Logo",Yes
85,Womens Short Sleeve Golf Shirt,VAL_272707_4537321_484,WOMENSSLEV,Womens Short Sleeve Golf Shirt,Top,"Brand New 10.0,New,New W/ Logo",Yes
86,Womens Sleeveless Golf Shirts,VAL_272708_4537321_924,WOMENSLESS,Womens Sleeveless Golf Shirts,Top,"Brand New 10.0,New,New W/ Logo",Yes
